module adder_pipe_64bit (
	input clk,
	input rst_n,
	input i_en,
	input [63:0] adda,
	input [63:0] addb,
	output [64:0] result,
	output o_en
);
    reg [63:0] a, b;
    reg [63:0] c;
    reg [63:0] d;
    reg [63:0] e;
    reg [63:0] g;
    reg [63:0] h;
    reg [63:0] h_r;
    reg [63:0] h_r_;
    reg [63:0] h_r__;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r___;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__;
    reg [63:0] h_r__
