module multi_16bit (
    input clk,
    input rst_n,
    input start,
    input [15:0] ain,
    input [15:0] bin,
    output [31:0] yout,
    output done
);
    reg [15:0] a;
    reg [15:0] b;
    reg [15:0] c;
    reg [15:0] d;
    reg [15:0] c_reg;
    reg [15:0] d_reg;
    reg [15:0] d_next;
    reg [15:0] d_next_;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next__;
    reg [15:0] d_next_
