module TopModule (
	input p1a,
	input p1b,
	input p1c,
	input p1d,
	input p2a,
	input p2b,
	input p2c,
	input p2d,
	output p1y,
	output p2y
);
    wire [3:0] nand0;
    wire [3:0] nand1;
    nand nand2 (nand0, p1a, p1b);
    nand nand3 (nand1, p2a, p2b);
    nand nand4 (nand2, p1c, p2c);
    nand nand5 (nand5, p1d, p1a);
    nand nand6 (nand6, p2d, p2a);
    nand nand7 (nand7, p1a, p1b);
    nand nand8 (nand8, p2a, p2b);
    nand nand9 (nand9, p1a, p2b);
    nand nand10 (nand10, p1a, p1b);
    nand nand11 (nand11, p1a, p1b);
    nand nand12 (nand12, p1a, p1b);
    nand nand13 (nand13, p1a, p1b);
    nand nand14 (nand14, p1a, p1b);
    nand nand15 (nand15, p1a, p1b);
    nand nand16 (nand16, p1a, p1b);
    nand nand17 (nand17, p1a, p1b);
    nand nand18 (nand18, p1a, p1b);
    nand nand19 (nand19, p1a, p1b);
    nand nand20 (nand20, p1a, p1b);
    nand nand21 (nand21, p1a, p1b);
    nand nand22 (nand22, p1a, p1b);
    nand nand23 (nand23, p1a, p1b);
    nand nand24 (nand24, p1a, p1b);
    nand nand25 (nand25, p1a, p1b);
    nand nand26 (nand26, p1a, p1b);
    nand nand27 (nand27, p1a, p1b);
    nand nand28 (nand28, p1a, p1b);
    nand nand29 (nand29, p1a, p1b);
    nand nand30 (nand30, p1a, p1b);
    nand nand31 (nand31, p1a, p1b);
    nand nand32 (nand32, p1a, p1b);
    nand nand33 (nand33, p1a, p1b);
    nand nand34 (nand34, p1a, p1b);
    nand nand34 (nand34, p1a, p1b);
    nand nand35 (nand35, p1a, p1b);
    nand nand36 (nand36, p1a, p1b);
    nand nand37 (nand37, p1a, p1b);
    nand nand38 (nand38, p1a, p1b);
    nand nand39 (nand38, p1a, p1b);
    nand nand40 (nand40, p1a, p1b);
    nand nand41 (nand41, p1a, p1b);
    nand nand42 (nand42, p1a, p1b);
    nand nand43 (nand43, p1a, p1b);
    nand nand44 (nand44, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p1b);
    nand45 (nand45, p1a, p
