module TopModule (
    input [15:0] scancode,
    output left,
    output down,
    output right,
    output up
);
    wire [15:0] scancode_to_output;
    wire [15:0] scancode_to_output_left;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_right;
    wire [15:0] scancode_to_output_up;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_left_shift;
    wire [15:0] scancode_to_output_right_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_down;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_up_shift;
    wire [15:0] scancode_to_output_left_shift;
    wire [
