module TopModule (
	input clk,
	input reset,
	input [2:0] s,
	output fr2,
	output fr1,
	output fr0,
	output dfr
);
    parameter [3:0] S_1 = 4'h0;
    parameter [3:0] S_2 = 4'h1;
    parameter [3:0] S_3 = 4'h2;
    parameter [3:0] S_4 = 4'h3;
    parameter [3:0] S_5 = 4'h4;
    parameter [3:0] S_6 = 4'h5;
    parameter [3:0] S_7 = 4'h6;
    parameter [3:0] S_8 = 4'h7;
    parameter [3:0] S_9 = 4'h8;
    parameter [3:0] S_10 = 4'h9;
    parameter [3:0] S_11 = 4'h10;
    parameter [3:0] S_12 = 4'h11;
    parameter [3:0] S_13 = 4'h12;
    parameter [3:0] S_14 = 4'h13;
    parameter [3:0] S_15 = 4'h14;
    parameter [3:0] S_16 = 4'h15;
    parameter [3:0] S_17 = 4'h16;
    parameter [3:0] S_18 = 4'h17;
    parameter [3:0] S_19 = 4'h19;
    parameter [3:0] S_20 = 4'h20;
    parameter [3:0] S_21 = 4'h21;
    parameter [3:0] S_22 = 4'h22;
    parameter [3:0] S_23 = 4'h23;
    parameter [3:0] S_24 = 4'h24;
    parameter [3:0] S_25 = 4'h25;
    parameter [3:0] S_26 = 4'h26;
    parameter [3:0] S_27 = 4'h27;
    parameter [3:0] S_28 = 4'h28;
    parameter [3:0] S_29 = 4'h29;
    parameter [3:0] S_30 = 4'h30;
    parameter [3:0] S_31 = 4'h31;
    parameter [3:0] S_32 = 4'h32;
    parameter [3:0] S_33 = 4'h33;
    parameter [3:0] S_34 = 4'h34;
    parameter [3:0] S_35 = 4'h35;
    parameter [3:0] S_36 = 4'h36;
    parameter [3:0] S_37 = 4'h37;
    parameter [3:0] S_38 = 4'h38;
    parameter [3:0] S_39 = 4'h39;
    parameter [3:0] S_39 = 4'h38;
    parameter [3:0] S_39 = 4'h38;
    parameter [3:0] S_40 = 4'h40;
    parameter [3:0] S_41 = 4'h41;
    parameter [3:0] S_42 = 4'h42;
    parameter [3:0] S_43 = 4'h43;
    parameter [3:0] S_44 = 4'h44;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0] S_45 = 4'h45;
    parameter [3:0
