module TopModule (
	input clk,
	input reset,
	input [2:0] s,
	output fr2,
	output fr1,
	output fr0,
	output dfr
);
    parameter [1:0] S = 3'b000;
    parameter [1:0] S_1 = 3'b001;
    parameter [1:0] S_2 = 3'b010;
    parameter [1:0] S_3 = 3'b011;
    parameter [1:0] S_4 = 3'b100;
    parameter [1:0] S_5 = 3'b101;
    parameter [1:0] S_6 = 3'b110;
    parameter [1:0] S_7 = 3'b111;
    parameter [1:0] S_8 = 3'b111;
    parameter [1:0] S_9 = 3'b111;
    parameter [1:0] S_10 = 3'b111;
    parameter [1:0] S_11 = 3'b111;
    parameter [1:0] S_12 = 3'b111;
    parameter [1:0] S_13 = 3'b111;
    parameter [1:0] S_14 = 3'b111;
    parameter [1:0] S_15 = 3'b111;
    parameter [1:0] S_16 = 3'b111;
    parameter [1:0] S_17 = 3'b111;
    parameter [1:0] S_18 = 3'b111;
    parameter [1:0] S_19 = 3'b111;
    parameter [1:0] S_20 = 3'b111;
    parameter [1:0] S_21 = 3'b111;
    parameter [1:0] S_22 = 3'b111;
    parameter [1:0] S_23 = 3'b111;
    parameter [1:0] S_24 = 3'b111;
    parameter [1:0] S_25 = 3'b111;
    parameter [1:0] S_26 = 3'b111;
    parameter [1:0] S_27 = 3'b111;
    parameter [1:0] S_28 = 3'b111;
    parameter [1:0] S_29 = 3'b111;
    parameter [1:0] S_30 = 3'b111;
    parameter [1:0] S_31 = 3'b111;
    parameter [1:0] S_32 = 3'b111;
    parameter [1:0] S_33 = 3'b111;
    parameter [1:0] S_34 = 3'b111;
    parameter [1:0] S_35 = 3'b111;
    parameter [1:0] S_36 = 3'b111;
    parameter [1:0] S_37 = 3'b111;
    parameter [1:0] S_38 = 3'b111;
    parameter [1:0] S_39 = 3'b111;
    parameter [1:0] S_39 = 3'b111;
    parameter [1:0] S_40 = 3'b111;
    parameter [1:0] S_41 = 3'b111;
    parameter [1:0] S_42 = 3'b111;
    parameter [1:0] S_42 = 3'b111;
    parameter [1:0] S_43 = 3'b111;
    parameter [1:0] S_44 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0] S_45 = 3'b111;
    parameter [1:0]
