module TopModule (
	input clk,
	input areset,
	input bump_left,
	input bump_right,
	input ground,
	input dig,
	output walk_left,
	output walk_right,
	output aaah,
	output digging
);
    reg [7:0] state;
    reg [1:0] next_state;
    wire [7:0] code;
    assign walk_left = ~bump_left;
    assign walk_right = ~bump_right;
    assign digging = ~bump_left;
    assign aaah = ~bump_right;
    assign code = state;
    always @(posedge clk or posedge areset) begin
        if (areset) begin
            state <= 0;
            next_state <= 1;
            next_state <= 0;
        end else if (bump_left && dig &&!dig && next_state == 0) begin
            case (next_state)
                0: begin
                    next_state <= 1;
                    case (code)
                        1: next_state <= 2;
                        2: next_state <= 3;
                        3: next_state <= 4;
                        4: next_state <= 5;
                        5: next_state <= 6;
                        6: next_state <= 7;
                        7: next_state <= 8;
                        8: next_state <= 9;
                        9: next_state <= 10;
                        10: next_state <= 11;
                        11: next_state <= 12;
                        12: next_state <= 13;
                        13: next_state <= 14;
                        14: next_state <= 15;
                        15: next_state <= 16;
                        16: next_state <= 17;
                        17: next_state <= 18;
                        18: next_state <= 19;
                        19: next_state <= 20;
                        20: next_state <= 21;
                        21: next_state <= 22;
                        22: next_state <= 23;
                        23: next_state <= 24;
                        24: next_state <= 25;
                        25: next_state <= 26;
                        26: next_state <= 27;
                        27: next_state <= 31;
                        28: next_state <= 30;
                        29: next_state <= 31;
                        30: next_state <= 31;
                        31: next_state <= 31;
                        32: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 30;
                        32: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        33: next_state <= 31;
                        34: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        34: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35:next_state <= 31;
                        35:next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        35: next_state <= 31;
                        
